config_idx,config_name,n_ae_layers,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff,better_than_baseline,status
10,ae2_hd2_gru_m20_tanh_adam_lr0.001_bs64_mae,2,2,GRU,0.2,tanh,mae,adam,0.001,64,10,15,0.0014177958,0.009552210569381714,0.002337956801056862,0.004296196,-0.0028784005,True,success
16,ae3_hd1_gru_m20_tanh_adam_lr0.001_bs64_mae,3,1,GRU,0.2,tanh,mae,adam,0.001,64,10,15,0.0017837188,0.011106591671705246,0.0018884122837334871,0.004296196,-0.0025124773,True,success
4,ae2_hd1_gru_m20_tanh_adam_lr0.001_bs64_mae,2,1,GRU,0.2,tanh,mae,adam,0.001,64,10,15,0.0022345332,0.012360230088233948,0.0024210787378251553,0.004296196,-0.002061663,True,success
11,ae2_hd2_gru_m50_tanh_adam_lr0.001_bs64_mae,2,2,GRU,0.5,tanh,mae,adam,0.001,64,10,15,0.0024063142,0.00977491308003664,0.0024063142482191324,0.004296196,-0.0018898819,True,success
23,ae3_hd2_gru_m50_tanh_adam_lr0.001_bs64_mae,3,2,GRU,0.5,tanh,mae,adam,0.001,64,10,15,0.0033510285,0.01233424711972475,0.0033510280773043633,0.004296196,-0.0009451676,True,success
17,ae3_hd1_gru_m50_tanh_adam_lr0.001_bs64_mae,3,1,GRU,0.5,tanh,mae,adam,0.001,64,10,15,0.0034338054,0.00956533569842577,0.0034338056575506926,0.004296196,-0.00086239073,True,success
6,ae2_hd1_gru_m80_tanh_adam_lr0.001_bs64_mae,2,1,GRU,0.8,tanh,mae,adam,0.001,64,10,15,0.004030596,0.0109536312520504,0.004030595999211073,0.004296196,-0.00026560016,True,success
5,ae2_hd1_gru_m50_tanh_adam_lr0.001_bs64_mae,2,1,GRU,0.5,tanh,mae,adam,0.001,64,10,15,0.0045850514,0.009732243604958057,0.004585052374750376,0.004296196,0.00028885528,False,success
22,ae3_hd2_gru_m20_tanh_adam_lr0.001_bs64_mae,3,2,GRU,0.2,tanh,mae,adam,0.001,64,10,15,0.004938503,0.01093246228992939,0.004938501864671707,0.004296196,0.00064230664,False,success
12,ae2_hd2_gru_m80_tanh_adam_lr0.001_bs64_mae,2,2,GRU,0.8,tanh,mae,adam,0.001,64,10,15,0.006599365,0.010541243478655815,0.0065993657335639,0.004296196,0.0023031686,False,success
13,ae3_hd1_lstm_m20_tanh_adam_lr0.001_bs64_mae,3,1,LSTM,0.2,tanh,mae,adam,0.001,64,10,15,0.010776205,0.03733483701944351,0.010776202194392681,0.004296196,0.006480009,False,success
1,ae2_hd1_lstm_m20_tanh_adam_lr0.001_bs64_mae,2,1,LSTM,0.2,tanh,mae,adam,0.001,64,10,15,0.011320327,0.019315501675009727,0.011320325545966625,0.004296196,0.0070241312,False,success
7,ae2_hd2_lstm_m20_tanh_adam_lr0.001_bs64_mae,2,2,LSTM,0.2,tanh,mae,adam,0.001,64,10,15,0.012893634,0.021302316337823868,0.012893633916974068,0.004296196,0.008597437,False,success
24,ae3_hd2_gru_m80_tanh_adam_lr0.001_bs64_mae,3,2,GRU,0.8,tanh,mae,adam,0.001,64,10,15,0.013200101,0.0114054623991251,0.01320010144263506,0.004296196,0.008903906,False,success
8,ae2_hd2_lstm_m50_tanh_adam_lr0.001_bs64_mae,2,2,LSTM,0.5,tanh,mae,adam,0.001,64,10,15,0.013496076,0.020349258556962013,0.013496074825525284,0.004296196,0.00919988,False,success
20,ae3_hd2_lstm_m50_tanh_adam_lr0.001_bs64_mae,3,2,LSTM,0.5,tanh,mae,adam,0.001,64,10,15,0.013733727,0.021110517904162407,0.01373373158276081,0.004296196,0.009437531,False,success
2,ae2_hd1_lstm_m50_tanh_adam_lr0.001_bs64_mae,2,1,LSTM,0.5,tanh,mae,adam,0.001,64,10,15,0.013988824,0.021255096420645714,0.013988824561238289,0.004296196,0.009692628,False,success
14,ae3_hd1_lstm_m50_tanh_adam_lr0.001_bs64_mae,3,1,LSTM,0.5,tanh,mae,adam,0.001,64,10,15,0.014570528,0.05137614160776138,0.014570523053407669,0.004296196,0.010274332,False,success
19,ae3_hd2_lstm_m20_tanh_adam_lr0.001_bs64_mae,3,2,LSTM,0.2,tanh,mae,adam,0.001,64,10,15,0.01679233,0.022884925827383995,0.016792329028248787,0.004296196,0.012496134,False,success
9,ae2_hd2_lstm_m80_tanh_adam_lr0.001_bs64_mae,2,2,LSTM,0.8,tanh,mae,adam,0.001,64,10,15,0.018482814,0.05401977524161339,0.018482808023691177,0.004296196,0.014186617,False,success
21,ae3_hd2_lstm_m80_tanh_adam_lr0.001_bs64_mae,3,2,LSTM,0.8,tanh,mae,adam,0.001,64,10,15,0.021566896,0.10920245945453644,0.02156689018011093,0.004296196,0.0172707,False,success
18,ae3_hd1_gru_m80_tanh_adam_lr0.001_bs64_mae,3,1,GRU,0.8,tanh,mae,adam,0.001,64,10,15,0.02249382,0.010954461060464382,0.022493824362754822,0.004296196,0.018197624,False,success
15,ae3_hd1_lstm_m80_tanh_adam_lr0.001_bs64_mae,3,1,LSTM,0.8,tanh,mae,adam,0.001,64,10,15,0.0265842,0.034800153225660324,0.02658419869840145,0.004296196,0.022288004,False,success
3,ae2_hd1_lstm_m80_tanh_adam_lr0.001_bs64_mae,2,1,LSTM,0.8,tanh,mae,adam,0.001,64,10,15,0.02758808,0.05309024453163147,0.027588093653321266,0.004296196,0.023291884,False,success
