config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
6,ae1_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.016890626,0.039210472255945206,0.016890626400709152,0.0038290415,0.013061585,False,0.009274829,0.007615797,False,success
34,ae2_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.018546425,0.049126967787742615,0.018546422943472862,0.0038290415,0.014717383,False,0.009274829,0.009271596,False,success
38,ae2_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.019396886,0.028241241350769997,0.019396884366869926,0.0038290415,0.015567845,False,0.009274829,0.010122057,False,success
53,ae2_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.019411102,0.024592548608779907,0.019411101937294006,0.0038290415,0.01558206,False,0.009274829,0.010136273,False,success
21,ae1_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.01955246,0.022770890966057777,0.019552458077669144,0.0038290415,0.015723418,False,0.009274829,0.010277631,False,success
57,ae2_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.020589702,0.03464827686548233,0.02058970369398594,0.0038290415,0.01676066,False,0.009274829,0.011314873,False,success
62,ae2_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021032447,0.031896986067295074,0.02103244513273239,0.0038290415,0.017203405,False,0.009274829,0.011757618,False,success
61,ae2_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021843685,0.02163827419281006,0.0222656037658453,0.0038290415,0.018014643,False,0.009274829,0.012568856,False,success
22,ae1_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022042481,0.02458849549293518,0.022825779393315315,0.0038290415,0.01821344,False,0.009274829,0.012767652,False,success
54,ae2_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022684833,0.02817125804722309,0.02268483303487301,0.0038290415,0.018855792,False,0.009274829,0.013410004,False,success
14,ae1_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.02284702,0.0446988046169281,0.022847017273306847,0.0038290415,0.019017978,False,0.009274829,0.01357219,False,success
30,ae1_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.023576817,0.029705535620450974,0.023576820269227028,0.0038290415,0.019747775,False,0.009274829,0.014301987,False,success
29,ae1_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.023645593,0.027918685227632523,0.023645590990781784,0.0038290415,0.019816551,False,0.009274829,0.014370764,False,success
31,ae1_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024080519,0.041852325201034546,0.024080516770482063,0.0038290415,0.020251477,False,0.009274829,0.014805689,False,success
63,ae2_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024694594,0.053813591599464417,0.024694589897990227,0.0038290415,0.020865552,False,0.009274829,0.015419764,False,success
26,ae1_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.025123836,0.032930273562669754,0.02512384206056595,0.0038290415,0.021294795,False,0.009274829,0.015849007,False,success
55,ae2_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02550487,0.03889881819486618,0.025504866614937782,0.0038290415,0.021675829,False,0.009274829,0.016230041,False,success
56,ae2_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.026267894,0.037316758185625076,0.02626788802444935,0.0038290415,0.022438852,False,0.009274829,0.016993064,False,success
2,ae1_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02640317,0.05319524183869362,0.02640317566692829,0.0038290415,0.022574129,False,0.009274829,0.01712834,False,success
50,ae2_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02654691,0.03359856829047203,0.02654690481722355,0.0038290415,0.022717869,False,0.009274829,0.017272081,False,success
18,ae1_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.027108425,0.03569762781262398,0.02710842154920101,0.0038290415,0.023279384,False,0.009274829,0.017833596,False,success
17,ae1_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.027282486,0.035683490335941315,0.0272824764251709,0.0038290415,0.023453444,False,0.009274829,0.018007657,False,success
8,ae1_lat50_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.027816456,0.04978416487574577,0.02781645581126213,0.0038290415,0.023987414,False,0.009274829,0.018541627,False,success
37,ae2_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.02809265,0.03739827498793602,0.0280926451086998,0.0038290415,0.02426361,False,0.009274829,0.018817822,False,success
58,ae2_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028155291,0.05197429284453392,0.03264101222157478,0.0038290415,0.02432625,False,0.009274829,0.018880462,False,success
19,ae1_lat80_hd1_lstm_m80_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.8,relu,mae,adam,0.001,64,10,15,0.028164703,0.057398609817028046,0.028164703398942947,0.0038290415,0.024335662,False,0.009274829,0.018889874,False,success
10,ae1_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028207166,0.04262654855847359,0.028207162395119667,0.0038290415,0.024378125,False,0.009274829,0.018932337,False,success
13,ae1_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028221706,0.036385804414749146,0.028221702203154564,0.0038290415,0.024392664,False,0.009274829,0.018946877,False,success
45,ae2_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028358787,0.04818718507885933,0.028358783572912216,0.0038290415,0.024529746,False,0.009274829,0.019083958,False,success
16,ae1_lat50_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.028387535,0.057099632918834686,0.02869323082268238,0.0038290415,0.024558494,False,0.009274829,0.019112706,False,success
7,ae1_lat50_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.028618565,0.049333494156599045,0.028720172122120857,0.0038290415,0.024789523,False,0.009274829,0.019343736,False,success
47,ae2_lat50_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.02870221,0.054092612117528915,0.029855793341994286,0.0038290415,0.02487317,False,0.009274829,0.019427381,False,success
9,ae1_lat50_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028800055,0.05393659695982933,0.028800060972571373,0.0038290415,0.024971014,False,0.009274829,0.019525226,False,success
39,ae2_lat50_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.028890915,0.041846901178359985,0.02889091521501541,0.0038290415,0.025061874,False,0.009274829,0.019616086,False,success
