config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
13,ae1_lat80_hd2_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.018465431,0.0255780927836895,0.018465423956513405,0.010747281,0.0077181505,False,0.013116121,0.00534931,False,success
1,ae1_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.021035774,0.030847718939185143,0.021035773679614067,0.010747281,0.010288493,False,0.013116121,0.007919652,False,success
15,ae1_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021488655,0.018241707235574722,0.021488651633262634,0.010747281,0.010741374,False,0.013116121,0.008372534,False,success
23,ae2_lat50_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021987991,0.02380232699215412,0.02348611317574978,0.010747281,0.0112407105,False,0.013116121,0.00887187,False,success
11,ae1_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022012705,0.01768726110458374,0.022012703120708466,0.010747281,0.011265424,False,0.013116121,0.008896584,False,success
12,ae1_lat80_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.022074962,0.02580377086997032,0.02207496576011181,0.010747281,0.011327681,False,0.013116121,0.008958841,False,success
27,ae2_lat80_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022187596,0.019909238442778587,0.02218758873641491,0.010747281,0.011440315,False,0.013116121,0.009071475,False,success
31,ae2_lat80_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.022371557,0.019200941547751427,0.022371558472514153,0.010747281,0.011624276,False,0.013116121,0.009255435,False,success
16,ae1_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,1,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.023141174,0.030322033911943436,0.023141173645853996,0.010747281,0.012393893,False,0.013116121,0.010025052,False,success
9,ae1_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.024251144,0.026101740077137947,0.024251148104667664,0.010747281,0.0135038635,False,0.013116121,0.011135023,False,success
32,ae2_lat80_hd2_gru_m80_relu_adam_lr0.001_bs64_mae,2,0.8,2,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.024256732,0.02862449921667576,0.024256736040115356,0.010747281,0.013509451,False,0.013116121,0.011140611,False,success
25,ae2_lat80_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.8,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.024940126,0.03741426765918732,0.024940125644207,0.010747281,0.014192845,False,0.013116121,0.011824004,False,success
19,ae2_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.025382342,0.03473576903343201,0.02538234554231167,0.010747281,0.014635061,False,0.013116121,0.0122662205,False,success
