,config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
57,58,ae1_lat75_hd2_lstm_m40_relu_adam_lr0.001_bs64_mae,1,0.75,2,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.016805185,0.03797294571995735,0.01680518500506878,0.0067489045,0.0100562805,False,0.0031995466,0.013605638,False,success
60,61,ae1_lat75_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.75,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.01862138,0.021805133670568466,0.018621375784277916,0.0067489045,0.011872475,False,0.0031995466,0.015421833,False,success
70,71,ae1_lat75_hd3_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.75,3,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.01937826,0.033834245055913925,0.019378259778022766,0.0067489045,0.012629355,False,0.0031995466,0.016178712,False,success
68,69,ae1_lat75_hd3_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.75,3,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.0195547,0.022428125143051147,0.019554700702428818,0.0067489045,0.012805796,False,0.0031995466,0.016355153,False,success
53,54,ae1_lat75_hd1_gru_m40_relu_adam_lr0.001_bs64_mae,1,0.75,1,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.019945243,0.03252094238996506,0.019945241510868073,0.0067489045,0.013196339,False,0.0031995466,0.016745698,False,success
54,55,ae1_lat75_hd1_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.75,1,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.020366028,0.034294091165065765,0.02036602608859539,0.0067489045,0.0136171235,False,0.0031995466,0.01716648,False,success
132,133,ae2_lat75_hd2_gru_m20_relu_adam_lr0.001_bs64_mae,2,0.75,2,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.021131286,0.0279659666121006,0.02113128826022148,0.0067489045,0.014382382,False,0.0031995466,0.01793174,False,success
62,63,ae1_lat75_hd2_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.75,2,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.021202117,0.03407183662056923,0.021202122792601585,0.0067489045,0.014453213,False,0.0031995466,0.01800257,False,success
61,62,ae1_lat75_hd2_gru_m40_relu_adam_lr0.001_bs64_mae,1,0.75,2,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.02175655,0.029097646474838257,0.02199919894337654,0.0067489045,0.015007646,False,0.0031995466,0.018557005,False,success
184,185,ae3_lat50_hd3_lstm_m20_relu_adam_lr0.001_bs64_mae,3,0.5,3,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02176802,0.050998836755752563,0.02176801487803459,0.0067489045,0.015019116,False,0.0031995466,0.018568475,False,success
